0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
70,5,1,2,0,15834,0,0,0,5,0,172,3,186,1,0,70,5,1,2,0,15834,0,0,0,5,0,172,3,186,1,0,70,5,1,2,0,15834,0,0,0,5,0,172,3,186,1,0,70,5,1,2,0,15834,0,0,0,5,0,172,3,186,1,0
29,7,2,1,0,27,1,0,0,21,5,554,2,-1,0,3,29,7,2,1,0,27,1,0,0,21,5,554,2,-1,0,3,29,7,2,1,0,27,1,0,0,21,5,554,2,-1,0,3,29,7,2,1,0,27,1,0,0,21,5,554,2,-1,0,3
43,4,0,2,0,-173,0,1,0,18,1,119,7,-1,0,3,43,4,0,2,0,-173,0,1,0,18,1,119,7,-1,0,3,43,4,0,2,0,-173,0,1,0,18,1,119,7,-1,0,3,43,4,0,2,0,-173,0,1,0,18,1,119,7,-1,0,3
52,2,1,3,0,0,1,0,2,13,8,165,2,-1,0,3,52,2,1,3,0,0,1,0,2,13,8,165,2,-1,0,3,52,2,1,3,0,0,1,0,2,13,8,165,2,-1,0,3,52,2,1,3,0,0,1,0,2,13,8,165,2,-1,0,3
27,9,2,2,0,1976,0,0,0,18,7,394,2,101,1,1,27,9,2,2,0,1976,0,0,0,18,7,394,2,101,1,1,27,9,2,2,0,1976,0,0,0,18,7,394,2,101,1,1,27,9,2,2,0,1976,0,0,0,18,7,394,2,101,1,1
41,1,2,1,0,1621,1,0,2,28,8,119,1,-1,0,3,41,1,2,1,0,1621,1,0,2,28,8,119,1,-1,0,3,41,1,2,1,0,1621,1,0,2,28,8,119,1,-1,0,3,41,1,2,1,0,1621,1,0,2,28,8,119,1,-1,0,3
38,1,1,1,0,4321,0,0,0,18,8,252,1,85,6,0,38,1,1,1,0,4321,0,0,0,18,8,252,1,85,6,0,38,1,1,1,0,4321,0,0,0,18,8,252,1,85,6,0,38,1,1,1,0,4321,0,0,0,18,8,252,1,85,6,0
36,1,1,0,0,6085,1,0,2,16,6,186,6,-1,0,3,36,1,1,0,0,6085,1,0,2,16,6,186,6,-1,0,3,36,1,1,0,0,6085,1,0,2,16,6,186,6,-1,0,3,36,1,1,0,0,6085,1,0,2,16,6,186,6,-1,0,3
29,4,2,2,0,471,1,0,0,6,8,106,1,-1,0,3,29,4,2,2,0,471,1,0,0,6,8,106,1,-1,0,3,29,4,2,2,0,471,1,0,0,6,8,106,1,-1,0,3,29,4,2,2,0,471,1,0,0,6,8,106,1,-1,0,3
31,9,2,2,0,127,1,0,0,16,5,122,1,-1,0,3,31,9,2,2,0,127,1,0,0,16,5,122,1,-1,0,3,31,9,2,2,0,127,1,0,0,16,5,122,1,-1,0,3,31,9,2,2,0,127,1,0,0,16,5,122,1,-1,0,3
42,3,1,1,0,197,0,0,2,18,6,199,1,-1,0,3,42,3,1,1,0,197,0,0,2,18,6,199,1,-1,0,3,42,3,1,1,0,197,0,0,2,18,6,199,1,-1,0,3,42,3,1,1,0,197,0,0,2,18,6,199,1,-1,0,3
43,1,2,1,0,421,1,0,2,15,8,298,3,-1,0,3,43,1,2,1,0,421,1,0,2,15,8,298,3,-1,0,3,43,1,2,1,0,421,1,0,2,15,8,298,3,-1,0,3,43,1,2,1,0,421,1,0,2,15,8,298,3,-1,0,3
51,9,1,3,0,413,1,0,1,28,4,82,2,254,2,0,51,9,1,3,0,413,1,0,1,28,4,82,2,254,2,0,51,9,1,3,0,413,1,0,1,28,4,82,2,254,2,0,51,9,1,3,0,413,1,0,1,28,4,82,2,254,2,0
48,4,1,2,0,1533,0,0,2,29,8,358,1,-1,0,3,48,4,1,2,0,1533,0,0,2,29,8,358,1,-1,0,3,48,4,1,2,0,1533,0,0,2,29,8,358,1,-1,0,3,48,4,1,2,0,1533,0,0,2,29,8,358,1,-1,0,3
34,1,1,0,0,500,1,0,0,18,9,240,2,182,1,0,34,1,1,0,0,500,1,0,0,18,9,240,2,182,1,0,34,1,1,0,0,500,1,0,0,18,9,240,2,182,1,0,34,1,1,0,0,500,1,0,0,18,9,240,2,182,1,0
49,4,2,2,0,7443,0,0,1,20,9,35,2,-1,0,3,49,4,2,2,0,7443,0,0,1,20,9,35,2,-1,0,3,49,4,2,2,0,7443,0,0,1,20,9,35,2,-1,0,3,49,4,2,2,0,7443,0,0,1,20,9,35,2,-1,0,3
57,9,1,1,0,93,0,0,2,9,6,82,2,-1,0,3,57,9,1,1,0,93,0,0,2,9,6,82,2,-1,0,3,57,9,1,1,0,93,0,0,2,9,6,82,2,-1,0,3,57,9,1,1,0,93,0,0,2,9,6,82,2,-1,0,3
30,4,1,2,0,151,0,0,0,21,1,121,1,-1,0,3,30,4,1,2,0,151,0,0,0,21,1,121,1,-1,0,3,30,4,1,2,0,151,0,0,0,21,1,121,1,-1,0,3,30,4,1,2,0,151,0,0,0,21,1,121,1,-1,0,3
25,10,1,1,0,285,1,0,2,29,8,859,2,-1,0,3,25,10,1,1,0,285,1,0,2,29,8,859,2,-1,0,3,25,10,1,1,0,285,1,0,2,29,8,859,2,-1,0,3,25,10,1,1,0,285,1,0,2,29,8,859,2,-1,0,3
51,1,1,0,0,362,1,0,0,4,3,108,4,272,2,0,51,1,1,0,0,362,1,0,0,4,3,108,4,272,2,0,51,1,1,0,0,362,1,0,0,4,3,108,4,272,2,0,51,1,1,0,0,362,1,0,0,4,3,108,4,272,2,0
48,1,1,0,0,551,1,1,0,17,0,1064,3,303,5,0,48,1,1,0,0,551,1,1,0,17,0,1064,3,303,5,0,48,1,1,0,0,551,1,1,0,17,0,1064,3,303,5,0,48,1,1,0,0,551,1,1,0,17,0,1064,3,303,5,0
48,4,0,2,0,108,1,0,2,27,8,89,2,-1,0,3,48,4,0,2,0,108,1,0,2,27,8,89,2,-1,0,3,48,4,0,2,0,108,1,0,2,27,8,89,2,-1,0,3,48,4,0,2,0,108,1,0,2,27,8,89,2,-1,0,3
56,0,1,1,0,11,0,0,2,13,8,42,3,-1,0,3,56,0,1,1,0,11,0,0,2,13,8,42,3,-1,0,3,56,0,1,1,0,11,0,0,2,13,8,42,3,-1,0,3,56,0,1,1,0,11,0,0,2,13,8,42,3,-1,0,3
38,0,1,1,0,281,1,0,0,16,0,235,2,335,2,0,38,0,1,1,0,281,1,0,0,16,0,235,2,335,2,0,38,0,1,1,0,281,1,0,0,16,0,235,2,335,2,0,38,0,1,1,0,281,1,0,0,16,0,235,2,335,2,0
46,6,0,2,0,21,0,0,0,30,5,566,2,-1,0,3,46,6,0,2,0,21,0,0,0,30,5,566,2,-1,0,3,46,6,0,2,0,21,0,0,0,30,5,566,2,-1,0,3,46,6,0,2,0,21,0,0,0,30,5,566,2,-1,0,3
30,7,0,1,0,1016,1,0,2,29,8,14,1,-1,0,3,30,7,0,1,0,1016,1,0,2,29,8,14,1,-1,0,3,30,7,0,1,0,1016,1,0,2,29,8,14,1,-1,0,3,30,7,0,1,0,1016,1,0,2,29,8,14,1,-1,0,3
