b,30.83,0,u,g,w,v,1.25,t,t.1,01,f,g.1,00202,0.1
2,210,4.415,3,3,9,8,0.25,1,1,10,1,0,104,0
2,336,20.0,2,1,14,4,17.5,1,1,9,1,0,0,1000
1,316,16.0,2,1,8,3,0.0,1,1,15,0,0,0,247
2,221,0.705,2,1,2,8,0.375,0,1,2,0,0,77,500
2,259,2.25,2,1,7,1,0.75,1,0,0,0,0,156,0
1,57,6.0,2,1,1,8,2.5,1,1,3,0,0,23,918
2,226,5.0,2,1,3,8,3.5,1,1,10,1,0,0,0
2,233,5.0,2,1,6,3,0.0,0,1,2,0,0,1,1
1,28,10.0,2,1,4,8,0.415,0,0,0,0,0,23,42
2,148,6.5,2,1,3,8,3.125,1,1,8,0,0,106,1200
1,89,0.5,2,1,11,4,1.5,1,0,0,0,0,95,824
2,290,7.585,2,1,7,1,7.585,1,1,15,1,0,0,5000
1,71,0.335,2,1,11,8,0.75,0,0,0,0,2,52,0
2,183,2.75,2,1,7,1,0.0,0,0,0,0,0,62,0
2,91,0.54,2,1,10,8,1.0,0,0,0,1,0,37,1
2,84,1.5,2,1,4,4,1.875,1,1,6,0,0,67,327
1,69,8.5,2,1,11,8,1.75,1,1,10,0,0,23,990
2,180,1.75,2,1,14,4,4.5,1,1,4,1,0,86,857
2,178,1.0,2,1,14,8,0.75,1,1,7,1,0,108,4071
2,77,11.125,2,1,14,4,0.46,1,1,1,0,0,31,0
0,42,0.125,2,1,11,8,1.0,0,1,1,0,0,83,768
2,47,2.415,2,1,2,8,2.0,1,1,11,1,0,67,3000
2,96,3.5,2,1,3,8,0.625,1,1,7,0,0,0,7059
2,186,6.5,2,1,1,8,0.125,1,0,0,1,0,139,0
2,85,9.0,2,1,1,8,0.25,0,0,0,1,0,0,0
1,89,1.75,3,3,2,8,0.165,0,0,0,0,0,42,0
2,87,6.625,3,3,4,8,5.5,1,0,0,1,2,31,0
1,179,3.0,3,3,1,8,2.0,0,0,0,0,0,62,0
2,117,0.75,2,1,2,4,4.25,1,1,3,1,0,103,150
2,108,0.25,2,1,7,1,0.0,1,0,0,1,0,0,0
2,85,0.875,2,1,10,8,0.085,0,1,4,0,0,87,1950
2,46,7.0,2,1,2,8,1.625,1,1,3,0,0,67,1391
2,94,12.5,2,1,1,8,3.0,1,0,0,1,2,2,0
2,348,4.0,2,1,14,8,5.0,1,1,3,1,0,97,2279
2,48,1.25,3,3,2,4,1.375,1,1,3,1,0,44,210
1,322,2.0,2,1,6,3,6.5,0,1,1,0,0,0,10
2,37,9.585,2,1,1,8,0.79,0,0,0,0,0,23,350
2,254,4.915,3,3,13,8,3.165,1,0,0,1,0,15,1442
2,197,25.125,2,1,14,4,1.625,1,1,1,1,0,151,500
1,18,0.0,3,3,8,3,0.0,0,0,0,0,0,24,0
2,164,0.04,3,3,10,8,0.04,0,0,0,0,0,0,0
2,348,0.375,2,1,4,8,0.875,1,0,0,1,2,165,0
2,295,0.585,2,1,6,3,0.0,0,0,0,0,0,47,0
2,283,25.085,2,1,13,8,1.75,1,1,3,0,0,37,14
2,71,0.165,2,1,2,5,2.25,0,0,0,1,2,0,0
2,76,0.0,2,1,9,8,1.0,0,1,11,0,2,0,0
2,106,1.0,2,1,11,8,1.75,1,0,0,1,0,95,0
2,239,1.5,2,1,7,1,0.0,0,0,0,0,2,99,0
1,93,1.25,2,1,6,3,0.0,1,0,0,0,0,23,0
2,291,19.0,2,1,6,3,0.0,1,1,1,0,0,28,0
1,60,11.75,2,1,2,8,0.25,0,0,0,1,0,62,0
1,227,4.0,2,1,2,8,3.0,0,0,0,0,0,146,0
2,237,21.5,2,1,5,9,20.0,1,1,11,0,0,0,1200
2,145,1.835,2,1,2,4,4.335,1,0,0,0,0,89,200
1,179,2.5,3,3,2,8,2.5,0,0,0,1,0,0,2
2,203,2.54,2,1,6,3,0.0,0,0,0,0,0,0,1000
1,320,0.335,2,1,7,1,1.0,1,0,0,1,0,85,2197
2,341,9.0,2,1,6,3,4.0,0,1,1,0,0,19,6
1,11,0.5,2,1,7,8,0.165,0,1,6,1,0,83,35
2,78,12.625,2,1,2,8,0.125,0,1,2,0,0,0,5552
2,104,12.835,2,1,3,8,0.5,0,0,0,0,0,0,2
2,228,2.5,3,3,7,4,10.0,0,0,0,1,2,67,0
2,71,2.54,3,3,2,4,2.585,1,0,0,0,0,0,0
2,161,0.75,3,3,1,8,3.5,0,0,0,1,0,104,0
2,239,3.29,2,1,10,8,3.5,0,0,0,1,2,128,0
2,125,4.0,3,3,7,4,5.75,1,1,2,1,0,21,0
2,231,1.71,3,3,10,8,0.165,0,0,0,0,2,128,0
2,73,3.0,2,1,10,8,1.29,1,1,1,0,0,89,800
1,340,15.0,2,1,5,9,0.0,1,1,14,0,0,0,3376
0,178,2.25,3,3,3,8,3.5,0,0,0,1,0,67,141
2,34,9.5,2,1,13,8,1.5,1,0,0,0,0,37,2206
1,166,6.0,2,1,4,8,1.25,0,0,0,0,0,92,0
1,282,1.335,2,1,7,7,0.335,0,0,0,0,0,0,120
